# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:Pu'
# Event count (approx.): 25471417522
#
# Children      Self  Command          Shared Object                           Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  ...............  ......................................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    89.21%     0.16%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::AdaptiveMultiVertexFinder::find(std::vector<Acts::InputTrack, std::allocator<Acts::InputTrack> > const&, Acts::VertexingOptions const&, Acts::AnyBase<128ul, true, void>&) const
    81.68%     0.00%  ActsBenchmarkAd  ActsBenchmarkAdaptiveMultiVertexFinder  [.] runBenchmark(int, char**)
    68.59%     0.03%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::AdaptiveMultiVertexFinder::doSeeding(std::vector<Acts::InputTrack, std::allocator<Acts::InputTrack> > const&, Acts::Vertex&, Acts::VertexingOptions const&, Acts::AnyBase<128ul, true, void>&, std::vector<Acts::InputTrack, std::allocator<Acts::InputTrack> > const&) const
    68.56%     0.00%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::TrackDensityVertexFinder::find(std::vector<Acts::InputTrack, std::allocator<Acts::InputTrack> > const&, Acts::VertexingOptions const&, Acts::AnyBase<128ul, true, void>&) const
    68.53%     0.74%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::GaussianTrackDensity::globalMaximumWithWidth(Acts::GaussianTrackDensity::State&, std::vector<Acts::InputTrack, std::allocator<Acts::InputTrack> > const&) const
    60.49%    35.98%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::GaussianTrackDensity::trackDensityAndDerivatives(Acts::GaussianTrackDensity::State const&, Acts::GaussianTrackDensity::DensityIndex&, double) const
    45.77%     0.00%  ActsBenchmarkAd  libActsCore.so                          [.] operator()<Acts::GaussianTrackDensity::trackDensityAndDerivatives(const State&, DensityIndex&, double) const::<lambda(std::size_t)> > (inlined)
    45.38%     0.00%  ActsBenchmarkAd  libActsCore.so                          [.] operator() (inlined)
    32.21%     0.00%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::GaussianTrackDensity::GaussianTrackDensityStore::addTrackToDensity(Acts::GaussianTrackDensity::TrackEntry const&) (inlined)
    21.88%     6.64%  ActsBenchmarkAd  libm.so.6                               [.] exp
    15.48%     0.00%  ActsBenchmarkAd  libActsCore.so                          [.] Acts::GaussianTrackDensity::GaussianTrackDensityStore::addContribution(Acts::GaussianTrackDensity::TrackEntry const&, double) (inlined)
